1951,0.000593786
1952,0.000574643
1953,0.0005555
1954,0.000536357
1955,0.000517214
1956,0.000498071
1957,0.000478929
1958,0.000459786
1959,0.000440643
1960,0.0004215
1961,0.0004133
1962,0.0004051
1963,0.0003969
1964,0.0003887
1965,0.0003805
1966,0.0003791
1967,0.0003777
1968,0.0003763
1969,0.0003749
1970,0.0003735
1971,0.0003609
1972,0.0003483
1973,0.0003357
1974,0.0003231
1975,0.000311
1976,0.0003016
1977,0.0002922
1978,0.0002828
1979,0.0002734
1980,0.000264
1981,0.000256
1982,0.000248
1983,0.00024
1984,0.000232
1985,0.000224
1986,0.0002136
1987,0.0002032
1988,0.0001928
1989,0.0001824
1990,0.000172
1991,0.0001696
1992,0.0001672
1993,0.0001648
1994,0.0001624
1995,0.0001595
1996,0.0001533
1997,0.0001471
1998,0.0001409
1999,0.0001347
2000,0.000129
2001,0.0001265
2002,0.000124
2003,0.0001215
2004,0.0001185
2005,0.0001185
2006,0.0001185
2007,0.0001185
2008,0.0001185
2009,0.0001185
2010,0.0001185
2011,0.0001185
2012,0.0001185
2013,0.0001185
2014,0.0001185
2015,0.0001185
2016,0.0001185
2017,0.0001185
2018,0.0001185
2019,0.0001185
2020,0.0001185
2021,0.0001185
2022,0.0001185
2023,0.0001185
2024,0.0001185
2025,0.0001185
2026,0.0001185
2027,0.0001185
2028,0.0001185
2029,0.0001185
2030,0.0001185
2031,0.0001185
2032,0.0001185
2033,0.0001185
2034,0.0001185
2035,0.0001185
2036,0.0001185
2037,0.0001185
2038,0.0001185
2039,0.0001185
2040,0.0001185
2041,0.0001185
2042,0.0001185
2043,0.0001185
2044,0.0001185
2045,0.0001185
2046,0.0001185
2047,0.0001185
2048,0.0001185
2049,0.0001185
2050,0.0001185
