parameter,start_lower,start_upper,end_lower,end_upper
years,1,1,1,1
notifications,1,1,1,1
births,0.75,1.25,0.75,1.25
bgmort0to4,0.75,1.25,0.75,1.25
bgmort5to14,0.75,1.25,0.75,1.25
bgmort15to44,0.75,1.25,0.75,1.25
bgmort45,0.75,1.25,0.75,1.25
mig0to4chronic,0.75,1.25,0.75,1.25
mig0to4cleared,0.75,1.25,0.75,1.25
mig0to4sus,0.75,1.25,0.75,1.25
mig5to14chronic,0.75,1.25,0.75,1.25
mig5to14cleared,0.75,1.25,0.75,1.25
mig5to14sus,0.75,1.25,0.75,1.25
mig15to44chronic,0.75,1.25,0.75,1.25
mig15to44cleared,0.75,1.25,0.75,1.25
mig15to44sus,0.75,1.25,0.75,1.25
mig45chronic,0.75,1.25,0.75,1.25
mig45cleared,0.75,1.25,0.75,1.25
mig45sus,0.75,1.25,0.75,1.25
